Region,Category,Product,Measure,Date,Value
East,Espresso,Mocha-Java,Sales,20121001, 52.0
East,Espresso,Mocha-Java,Sales,20121101, 30.0
East,Espresso,Mocha-Java,Sales,20121201, 75.0
East,Espresso,Garuda,Plan,20120101, 18.0
East,Espresso,Garuda,Plan,20120201, 38.0
East,Espresso,Garuda,Plan,20120301, 73.0
East,Espresso,Garuda,Plan,20120401, 17.0
East,Espresso,Garuda,Plan,20120501, 10.0
East,Espresso,Garuda,Plan,20120601, 14.0
East,Espresso,Garuda,Plan,20120701, 12.0
East,Espresso,Garuda,Plan,20120801, 78.0
East,Espresso,Garuda,Plan,20120901, 67.0
East,Espresso,Garuda,Plan,20121001, 52.0
East,Espresso,Garuda,Plan,20121101, 30.0
East,Espresso,Garuda,Plan,20121201, 75.0
East,Espresso,Garuda,Sales,20120101, 18.0
East,Espresso,Garuda,Sales,20120201, 38.0
East,Espresso,Garuda,Sales,20120301, 73.0
East,Espresso,Garuda,Sales,20120401, 17.0
East,Espresso,Garuda,Sales,20120501, 10.0
East,Espresso,Garuda,Sales,20120601, 14.0
East,Espresso,Garuda,Sales,20120701, 12.0
East,Espresso,Garuda,Sales,20120801, 78.0
East,Espresso,Garuda,Sales,20120901, 67.0
East,Espresso,Garuda,Sales,20121001, 52.0
East,Espresso,Garuda,Sales,20121101, 30.0
East,Espresso,Garuda,Sales,20121201, 75.0
East,Espresso,Italian Roast,Plan,20120101, 18.0
East,Espresso,Italian Roast,Plan,20120201, 38.0
East,Espresso,Italian Roast,Plan,20120301, 73.0
East,Espresso,Italian Roast,Plan,20120401, 17.0
East,Espresso,Italian Roast,Plan,20120501, 10.0
East,Espresso,Italian Roast,Plan,20120601, 14.0
East,Espresso,Italian Roast,Plan,20120701, 12.0
East,Espresso,Italian Roast,Plan,20120801, 78.0
East,Espresso,Italian Roast,Plan,20120901, 67.0
East,Espresso,Italian Roast,Plan,20121001, 52.0
East,Espresso,Italian Roast,Plan,20121101, 30.0
East,Espresso,Italian Roast,Plan,20121201, 75.0
East,Espresso,Italian Roast,Sales,20120101, 18.0
East,Espresso,Italian Roast,Sales,20120201, 38.0
East,Espresso,Italian Roast,Sales,20120301, 73.0
East,Espresso,Italian Roast,Sales,20120401, 17.0
East,Espresso,Italian Roast,Sales,20120501, 10.0
East,Espresso,Italian Roast,Sales,20120601, 14.0
East,Espresso,Italian Roast,Sales,20120701, 12.0
East,Espresso,Italian Roast,Sales,20120801, 78.0
East,Espresso,Italian Roast,Sales,20120901, 67.0
East,Espresso,Italian Roast,Sales,20121001, 52.0
East,Espresso,Italian Roast,Sales,20121101, 30.0
East,Espresso,Italian Roast,Sales,20121201, 75.0
East,Espresso,Arabian,Plan,20120101, 18.0
East,Espresso,Arabian,Plan,20120201, 38.0
East,Espresso,Arabian,Plan,20120301, 73.0
East,Espresso,Arabian,Plan,20120401, 17.0
East,Espresso,Arabian,Plan,20120501, 10.0
East,Espresso,Arabian,Plan,20120601, 14.0
East,Espresso,Arabian,Plan,20120701, 12.0
East,Espresso,Arabian,Plan,20120801, 78.0
East,Espresso,Arabian,Plan,20120901, 67.0
East,Espresso,Arabian,Plan,20121001, 52.0
East,Espresso,Arabian,Plan,20121101, 30.0
East,Espresso,Arabian,Plan,20121201, 75.0
East,Espresso,Arabian,Sales,20120101, 18.0
East,Espresso,Arabian,Sales,20120201, 38.0
East,Espresso,Arabian,Sales,20120301, 73.0
East,Espresso,Arabian,Sales,20120401, 17.0
East,Espresso,Arabian,Sales,20120501, 10.0
East,Espresso,Arabian,Sales,20120601, 14.0
East,Espresso,Arabian,Sales,20120701, 12.0
East,Espresso,Arabian,Sales,20120801, 78.0
East,Espresso,Arabian,Sales,20120901, 67.0
East,Espresso,Arabian,Sales,20121001, 52.0
East,Espresso,Arabian,Sales,20121101, 30.0
East,Espresso,Arabian,Sales,20121201, 75.0
East,Herbal Tea,Lemon,Plan,20120101, 18.0
East,Herbal Tea,Lemon,Plan,20120201, 38.0
East,Herbal Tea,Lemon,Plan,20120301, 73.0
East,Herbal Tea,Lemon,Plan,20120401, 17.0
East,Herbal Tea,Lemon,Plan,20120501, 10.0
East,Herbal Tea,Lemon,Plan,20120601, 14.0
East,Herbal Tea,Lemon,Plan,20120701, 12.0
East,Herbal Tea,Lemon,Plan,20120801, 78.0
East,Herbal Tea,Lemon,Plan,20120901, 67.0
East,Herbal Tea,Lemon,Plan,20121001, 52.0
East,Herbal Tea,Lemon,Plan,20121101, 30.0
East,Herbal Tea,Lemon,Plan,20121201, 75.0
East,Herbal Tea,Lemon,Sales,20120101, 18.0
East,Herbal Tea,Lemon,Sales,20120201, 38.0
East,Herbal Tea,Lemon,Sales,20120301, 73.0
East,Herbal Tea,Lemon,Sales,20120401, 17.0
East,Herbal Tea,Lemon,Sales,20120501, 10.0
East,Herbal Tea,Lemon,Sales,20120601, 14.0
East,Herbal Tea,Lemon,Sales,20120701, 12.0
East,Herbal Tea,Lemon,Sales,20120801, 78.0
East,Herbal Tea,Lemon,Sales,20120901, 67.0
East,Herbal Tea,Lemon,Sales,20121001, 52.0
East,Herbal Tea,Lemon,Sales,20121101, 30.0
East,Herbal Tea,Lemon,Sales,20121201, 75.0
East,Herbal Tea,Charmomile,Plan,20120101, 18.0
East,Herbal Tea,Charmomile,Plan,20120201, 38.0
East,Herbal Tea,Charmomile,Plan,20120301, 73.0
East,Herbal Tea,Charmomile,Plan,20120401, 17.0
East,Herbal Tea,Charmomile,Plan,20120501, 10.0
East,Herbal Tea,Charmomile,Plan,20120601, 14.0
East,Herbal Tea,Charmomile,Plan,20120701, 12.0
East,Herbal Tea,Charmomile,Plan,20120801, 78.0
East,Herbal Tea,Charmomile,Plan,20120901, 67.0
East,Herbal Tea,Charmomile,Plan,20121001, 52.0
East,Herbal Tea,Charmomile,Plan,20121101, 30.0
East,Herbal Tea,Charmomile,Plan,20121201, 75.0
East,Herbal Tea,Charmomile,Sales,20120101, 18.0
East,Herbal Tea,Charmomile,Sales,20120201, 38.0
East,Herbal Tea,Charmomile,Sales,20120301, 73.0
East,Herbal Tea,Charmomile,Sales,20120401, 17.0
East,Herbal Tea,Charmomile,Sales,20120501, 10.0
East,Herbal Tea,Charmomile,Sales,20120601, 14.0
East,Herbal Tea,Charmomile,Sales,20120701, 12.0
East,Herbal Tea,Charmomile,Sales,20120801, 78.0
East,Herbal Tea,Charmomile,Sales,20120901, 67.0
East,Herbal Tea,Charmomile,Sales,20121001, 52.0
East,Herbal Tea,Charmomile,Sales,20121101, 30.0
East,Herbal Tea,Charmomile,Sales,20121201, 75.0
East,Herbal Tea,Mint,Plan,20120101, 18.0
East,Herbal Tea,Mint,Plan,20120201, 38.0
East,Herbal Tea,Mint,Plan,20120301, 73.0
East,Herbal Tea,Mint,Plan,20120401, 17.0
East,Herbal Tea,Mint,Plan,20120501, 10.0
East,Herbal Tea,Mint,Plan,20120601, 14.0
East,Herbal Tea,Mint,Plan,20120701, 12.0
East,Herbal Tea,Mint,Plan,20120801, 78.0
East,Herbal Tea,Mint,Plan,20120901, 67.0
East,Herbal Tea,Mint,Plan,20121001, 52.0
East,Herbal Tea,Mint,Plan,20121101, 30.0
East,Herbal Tea,Mint,Plan,20121201, 75.0
East,Herbal Tea,Mint,Sales,20120101, 18.0
East,Herbal Tea,Mint,Sales,20120201, 38.0
East,Herbal Tea,Mint,Sales,20120301, 73.0
East,Herbal Tea,Mint,Sales,20120401, 17.0
East,Herbal Tea,Mint,Sales,20120501, 10.0
East,Herbal Tea,Mint,Sales,20120601, 14.0
East,Herbal Tea,Mint,Sales,20120701, 12.0
East,Herbal Tea,Mint,Sales,20120801, 78.0
East,Herbal Tea,Mint,Sales,20120901, 67.0
East,Herbal Tea,Mint,Sales,20121001, 52.0
East,Herbal Tea,Mint,Sales,20121101, 30.0
East,Herbal Tea,Mint,Sales,20121201, 75.0
East,Tea,Darjeeling,Plan,20120101, 18.0
East,Tea,Darjeeling,Plan,20120201, 38.0
East,Tea,Darjeeling,Plan,20120301, 73.0
East,Tea,Darjeeling,Plan,20120401, 17.0
East,Tea,Darjeeling,Plan,20120501, 10.0
East,Tea,Darjeeling,Plan,20120601, 14.0
East,Tea,Darjeeling,Plan,20120701, 12.0
East,Tea,Darjeeling,Plan,20120801, 78.0
East,Tea,Darjeeling,Plan,20120901, 67.0
East,Tea,Darjeeling,Plan,20121001, 52.0
East,Tea,Darjeeling,Plan,20121101, 30.0
East,Tea,Darjeeling,Plan,20121201, 75.0
East,Tea,Darjeeling,Sales,20120101, 18.0
East,Tea,Darjeeling,Sales,20120201, 38.0
East,Tea,Darjeeling,Sales,20120301, 73.0
East,Tea,Darjeeling,Sales,20120401, 17.0
East,Tea,Darjeeling,Sales,20120501, 10.0
East,Tea,Darjeeling,Sales,20120601, 14.0
East,Tea,Darjeeling,Sales,20120701, 12.0
East,Tea,Darjeeling,Sales,20120801, 78.0
East,Tea,Darjeeling,Sales,20120901, 67.0
East,Tea,Darjeeling,Sales,20121001, 52.0
East,Tea,Darjeeling,Sales,20121101, 30.0
East,Tea,Darjeeling,Sales,20121201, 75.0
East,Tea,Earl Grey,Plan,20120101, 18.0
East,Tea,Earl Grey,Plan,20120201, 38.0
East,Tea,Earl Grey,Plan,20120301, 73.0
East,Tea,Earl Grey,Plan,20120401, 17.0
East,Tea,Earl Grey,Plan,20120501, 10.0
East,Tea,Earl Grey,Plan,20120601, 14.0
East,Tea,Earl Grey,Plan,20120701, 12.0
East,Tea,Earl Grey,Plan,20120801, 78.0
East,Tea,Earl Grey,Plan,20120901, 67.0
East,Tea,Earl Grey,Plan,20121001, 52.0
East,Tea,Earl Grey,Plan,20121101, 30.0
East,Tea,Earl Grey,Plan,20121201, 75.0
East,Tea,Earl Grey,Sales,20120101, 18.0
East,Tea,Earl Grey,Sales,20120201, 38.0
East,Tea,Earl Grey,Sales,20120301, 73.0
East,Tea,Earl Grey,Sales,20120401, 17.0
East,Tea,Earl Grey,Sales,20120501, 10.0
East,Tea,Earl Grey,Sales,20120601, 14.0
East,Tea,Earl Grey,Sales,20120701, 12.0
East,Tea,Earl Grey,Sales,20120801, 78.0
East,Tea,Earl Grey,Sales,20120901, 67.0
East,Tea,Earl Grey,Sales,20121001, 52.0
East,Tea,Earl Grey,Sales,20121101, 30.0
East,Tea,Earl Grey,Sales,20121201, 75.0
East,Tea,Green Tea,Plan,20120101, 18.0
East,Tea,Green Tea,Plan,20120201, 38.0
East,Tea,Green Tea,Plan,20120301, 73.0
East,Tea,Green Tea,Plan,20120401, 17.0
East,Tea,Green Tea,Plan,20120501, 10.0
East,Tea,Green Tea,Plan,20120601, 14.0
East,Tea,Green Tea,Plan,20120701, 12.0
East,Tea,Green Tea,Plan,20120801, 78.0
East,Tea,Green Tea,Plan,20120901, 67.0
East,Tea,Green Tea,Plan,20121001, 52.0
East,Tea,Green Tea,Plan,20121101, 30.0
East,Tea,Green Tea,Plan,20121201, 75.0
East,Tea,Green Tea,Sales,20120101, 18.0
East,Tea,Green Tea,Sales,20120201, 38.0
East,Tea,Green Tea,Sales,20120301, 73.0
East,Tea,Green Tea,Sales,20120401, 17.0
East,Tea,Green Tea,Sales,20120501, 10.0
East,Tea,Green Tea,Sales,20120601, 14.0
East,Tea,Green Tea,Sales,20120701, 12.0
East,Tea,Green Tea,Sales,20120801, 78.0
East,Tea,Green Tea,Sales,20120901, 67.0
East,Tea,Green Tea,Sales,20121001, 52.0
East,Tea,Green Tea,Sales,20121101, 30.0
East,Tea,Green Tea,Sales,20121201, 75.0
Central,Coffee,Sumatra,Plan,20120101, 18.0
Central,Coffee,Sumatra,Plan,20120201, 38.0
Central,Coffee,Sumatra,Plan,20120301, 73.0
Central,Coffee,Sumatra,Plan,20120401, 17.0
Central,Coffee,Sumatra,Plan,20120501, 10.0
Central,Coffee,Sumatra,Plan,20120601, 14.0
Central,Coffee,Sumatra,Plan,20120701, 12.0
Central,Coffee,Sumatra,Plan,20120801, 78.0
Central,Coffee,Sumatra,Plan,20120901, 67.0
Central,Coffee,Sumatra,Plan,20121001, 52.0
Central,Coffee,Sumatra,Plan,20121101, 30.0
Central,Coffee,Sumatra,Plan,20121201, 75.0
Central,Coffee,Sumatra,Sales,20120101, 18.0
Central,Coffee,Sumatra,Sales,20120201, 38.0
Central,Coffee,Sumatra,Sales,20120301, 73.0
Central,Coffee,Sumatra,Sales,20120401, 17.0
Central,Coffee,Sumatra,Sales,20120501, 10.0
Central,Coffee,Sumatra,Sales,20120601, 14.0
Central,Coffee,Sumatra,Sales,20120701, 12.0
Central,Coffee,Sumatra,Sales,20120801, 78.0
Central,Coffee,Sumatra,Sales,20120901, 67.0
Central,Coffee,Sumatra,Sales,20121001, 52.0
Central,Coffee,Sumatra,Sales,20121101, 30.0
Central,Coffee,Sumatra,Sales,20121201, 75.0
Central,Coffee,French Roast,Plan,20120101, 18.0
Central,Coffee,French Roast,Plan,20120201, 38.0
Central,Coffee,French Roast,Plan,20120301, 73.0
Central,Coffee,French Roast,Plan,20120401, 17.0
Central,Coffee,French Roast,Plan,20120501, 10.0
Central,Coffee,French Roast,Plan,20120601, 14.0
Central,Coffee,French Roast,Plan,20120701, 12.0
Central,Coffee,French Roast,Plan,20120801, 78.0
Central,Coffee,French Roast,Plan,20120901, 67.0
Central,Coffee,French Roast,Plan,20121001, 52.0
Central,Coffee,French Roast,Plan,20121101, 30.0
Central,Coffee,French Roast,Plan,20121201, 75.0
Central,Coffee,French Roast,Sales,20120101, 18.0
Central,Coffee,French Roast,Sales,20120201, 38.0
Central,Coffee,French Roast,Sales,20120301, 73.0
Central,Coffee,French Roast,Sales,20120401, 17.0
Central,Coffee,French Roast,Sales,20120501, 10.0
Central,Coffee,French Roast,Sales,20120601, 14.0
Central,Coffee,French Roast,Sales,20120701, 12.0
Central,Coffee,French Roast,Sales,20120801, 78.0
Central,Coffee,French Roast,Sales,20120901, 67.0
Central,Coffee,French Roast,Sales,20121001, 52.0
Central,Coffee,French Roast,Sales,20121101, 30.0
Central,Coffee,French Roast,Sales,20121201, 75.0
Central,Espresso,Mocha-Java,Plan,20120101, 18.0
Central,Espresso,Mocha-Java,Plan,20120201, 38.0
Central,Espresso,Mocha-Java,Plan,20120301, 73.0
Central,Espresso,Mocha-Java,Plan,20120401, 17.0
Central,Espresso,Mocha-Java,Plan,20120501, 10.0
Central,Espresso,Mocha-Java,Plan,20120601, 14.0
Central,Espresso,Mocha-Java,Plan,20120701, 12.0
Central,Espresso,Mocha-Java,Plan,20120801, 78.0
Central,Espresso,Mocha-Java,Plan,20120901, 67.0
Central,Espresso,Mocha-Java,Plan,20121001, 52.0
Central,Espresso,Mocha-Java,Plan,20121101, 30.0
Central,Espresso,Mocha-Java,Plan,20121201, 75.0
Central,Espresso,Mocha-Java,Sales,20120101, 18.0
Central,Espresso,Mocha-Java,Sales,20120201, 38.0
Central,Espresso,Mocha-Java,Sales,20120301, 73.0
Central,Espresso,Mocha-Java,Sales,20120401, 17.0
Central,Espresso,Mocha-Java,Sales,20120501, 10.0
Central,Espresso,Mocha-Java,Sales,20120601, 14.0
Central,Espresso,Mocha-Java,Sales,20120701, 12.0
Central,Espresso,Mocha-Java,Sales,20120801, 78.0
Central,Espresso,Mocha-Java,Sales,20120901, 67.0
Central,Espresso,Mocha-Java,Sales,20121001, 52.0
Central,Espresso,Mocha-Java,Sales,20121101, 30.0
Central,Espresso,Mocha-Java,Sales,20121201, 75.0
Central,Espresso,Garuda,Plan,20120101, 18.0
Central,Espresso,Garuda,Plan,20120201, 38.0
Central,Espresso,Garuda,Plan,20120301, 73.0
Central,Espresso,Garuda,Plan,20120401, 17.0
Central,Espresso,Garuda,Plan,20120501, 10.0
Central,Espresso,Garuda,Plan,20120601, 14.0
Central,Espresso,Garuda,Plan,20120701, 12.0
Central,Espresso,Garuda,Plan,20120801, 78.0
Central,Espresso,Garuda,Plan,20120901, 67.0
Central,Espresso,Garuda,Plan,20121001, 52.0
Central,Espresso,Garuda,Plan,20121101, 30.0
Central,Espresso,Garuda,Plan,20121201, 75.0
Central,Espresso,Garuda,Sales,20120101, 18.0
Central,Espresso,Garuda,Sales,20120201, 38.0
Central,Espresso,Garuda,Sales,20120301, 73.0
Central,Espresso,Garuda,Sales,20120401, 17.0
Central,Espresso,Garuda,Sales,20120501, 10.0
Central,Espresso,Garuda,Sales,20120601, 14.0
Central,Espresso,Garuda,Sales,20120701, 12.0
Central,Espresso,Garuda,Sales,20120801, 78.0
Central,Espresso,Garuda,Sales,20120901, 67.0
Central,Espresso,Garuda,Sales,20121001, 52.0
Central,Espresso,Garuda,Sales,20121101, 30.0
Central,Espresso,Garuda,Sales,20121201, 75.0
Central,Espresso,Italian Roast,Plan,20120101, 18.0
Central,Espresso,Italian Roast,Plan,20120201, 38.0
Central,Espresso,Italian Roast,Plan,20120301, 73.0
Central,Espresso,Italian Roast,Plan,20120401, 17.0
Central,Espresso,Italian Roast,Plan,20120501, 10.0
Central,Espresso,Italian Roast,Plan,20120601, 14.0
Central,Espresso,Italian Roast,Plan,20120701, 12.0
Central,Espresso,Italian Roast,Plan,20120801, 78.0
Central,Espresso,Italian Roast,Plan,20120901, 67.0
Central,Espresso,Italian Roast,Plan,20121001, 52.0
Central,Espresso,Italian Roast,Plan,20121101, 30.0
Central,Espresso,Italian Roast,Plan,20121201, 75.0
Central,Espresso,Italian Roast,Sales,20120101, 18.0
Central,Espresso,Italian Roast,Sales,20120201, 38.0
Central,Espresso,Italian Roast,Sales,20120301, 73.0
Central,Espresso,Italian Roast,Sales,20120401, 17.0
Central,Espresso,Italian Roast,Sales,20120501, 10.0
Central,Espresso,Italian Roast,Sales,20120601, 14.0
Central,Espresso,Italian Roast,Sales,20120701, 12.0
Central,Espresso,Italian Roast,Sales,20120801, 78.0
Central,Espresso,Italian Roast,Sales,20120901, 67.0
Central,Espresso,Italian Roast,Sales,20121001, 52.0
Central,Espresso,Italian Roast,Sales,20121101, 30.0
Central,Espresso,Italian Roast,Sales,20121201, 75.0
Central,Espresso,Arabian,Plan,20120101, 18.0
Central,Espresso,Arabian,Plan,20120201, 38.0
Central,Espresso,Arabian,Plan,20120301, 73.0
Central,Espresso,Arabian,Plan,20120401, 17.0
Central,Espresso,Arabian,Plan,20120501, 10.0
Central,Espresso,Arabian,Plan,20120601, 14.0
Central,Espresso,Arabian,Plan,20120701, 12.0
Central,Espresso,Arabian,Plan,20120801, 78.0
Central,Espresso,Arabian,Plan,20120901, 67.0
Central,Espresso,Arabian,Plan,20121001, 52.0
Central,Espresso,Arabian,Plan,20121101, 30.0
Central,Espresso,Arabian,Plan,20121201, 75.0
Central,Espresso,Arabian,Sales,20120101, 18.0
Central,Espresso,Arabian,Sales,20120201, 38.0
Central,Espresso,Arabian,Sales,20120301, 73.0
Central,Espresso,Arabian,Sales,20120401, 17.0
Central,Espresso,Arabian,Sales,20120501, 10.0
Central,Espresso,Arabian,Sales,20120601, 14.0
Central,Espresso,Arabian,Sales,20120701, 12.0
Central,Espresso,Arabian,Sales,20120801, 78.0
Central,Espresso,Arabian,Sales,20120901, 67.0
Central,Espresso,Arabian,Sales,20121001, 52.0
Central,Espresso,Arabian,Sales,20121101, 30.0
Central,Espresso,Arabian,Sales,20121201, 75.0
Central,Herbal Tea,Lemon,Plan,20120101, 18.0
Central,Herbal Tea,Lemon,Plan,20120201, 38.0
Central,Herbal Tea,Lemon,Plan,20120301, 73.0
Central,Herbal Tea,Lemon,Plan,20120401, 17.0
Central,Herbal Tea,Lemon,Plan,20120501, 10.0
Central,Herbal Tea,Lemon,Plan,20120601, 14.0
Central,Herbal Tea,Lemon,Plan,20120701, 12.0
Central,Herbal Tea,Lemon,Plan,20120801, 78.0
Central,Herbal Tea,Lemon,Plan,20120901, 67.0
Central,Herbal Tea,Lemon,Plan,20121001, 52.0
Central,Herbal Tea,Lemon,Plan,20121101, 30.0
Central,Herbal Tea,Lemon,Plan,20121201, 75.0
Central,Herbal Tea,Lemon,Sales,20120101, 18.0
Central,Herbal Tea,Lemon,Sales,20120201, 38.0
Central,Herbal Tea,Lemon,Sales,20120301, 73.0
Central,Herbal Tea,Lemon,Sales,20120401, 17.0
Central,Herbal Tea,Lemon,Sales,20120501, 10.0
Central,Herbal Tea,Lemon,Sales,20120601, 14.0
Central,Herbal Tea,Lemon,Sales,20120701, 12.0
Central,Herbal Tea,Lemon,Sales,20120801, 78.0
Central,Herbal Tea,Lemon,Sales,20120901, 67.0
Central,Herbal Tea,Lemon,Sales,20121001, 52.0
Central,Herbal Tea,Lemon,Sales,20121101, 30.0
Central,Herbal Tea,Lemon,Sales,20121201, 75.0
Central,Herbal Tea,Charmomile,Plan,20120101, 18.0
Central,Herbal Tea,Charmomile,Plan,20120201, 38.0
Central,Herbal Tea,Charmomile,Plan,20120301, 73.0
Central,Herbal Tea,Charmomile,Plan,20120401, 17.0
Central,Herbal Tea,Charmomile,Plan,20120501, 10.0
Central,Herbal Tea,Charmomile,Plan,20120601, 14.0
Central,Herbal Tea,Charmomile,Plan,20120701, 12.0
Central,Herbal Tea,Charmomile,Plan,20120801, 78.0
Central,Herbal Tea,Charmomile,Plan,20120901, 67.0
Central,Herbal Tea,Charmomile,Plan,20121001, 52.0
Central,Herbal Tea,Charmomile,Plan,20121101, 30.0
Central,Herbal Tea,Charmomile,Plan,20121201, 75.0
Central,Herbal Tea,Charmomile,Sales,20120101, 18.0
Central,Herbal Tea,Charmomile,Sales,20120201, 38.0
Central,Herbal Tea,Charmomile,Sales,20120301, 73.0
Central,Herbal Tea,Charmomile,Sales,20120401, 17.0
Central,Herbal Tea,Charmomile,Sales,20120501, 10.0
Central,Herbal Tea,Charmomile,Sales,20120601, 14.0
Central,Herbal Tea,Charmomile,Sales,20120701, 12.0
Central,Herbal Tea,Charmomile,Sales,20120801, 78.0
Central,Herbal Tea,Charmomile,Sales,20120901, 67.0
Central,Herbal Tea,Charmomile,Sales,20121001, 52.0
Central,Herbal Tea,Charmomile,Sales,20121101, 30.0
Central,Herbal Tea,Charmomile,Sales,20121201, 75.0
Central,Herbal Tea,Mint,Plan,20120101, 18.0
Central,Herbal Tea,Mint,Plan,20120201, 38.0
Central,Herbal Tea,Mint,Plan,20120301, 73.0
Central,Herbal Tea,Mint,Plan,20120401, 17.0
Central,Herbal Tea,Mint,Plan,20120501, 10.0
Central,Herbal Tea,Mint,Plan,20120601, 14.0
Central,Herbal Tea,Mint,Plan,20120701, 12.0
Central,Herbal Tea,Mint,Plan,20120801, 78.0
Central,Herbal Tea,Mint,Plan,20120901, 67.0
Central,Herbal Tea,Mint,Plan,20121001, 52.0
Central,Herbal Tea,Mint,Plan,20121101, 30.0
Central,Herbal Tea,Mint,Plan,20121201, 75.0
Central,Herbal Tea,Mint,Sales,20120101, 18.0
Central,Herbal Tea,Mint,Sales,20120201, 38.0
Central,Herbal Tea,Mint,Sales,20120301, 73.0
Central,Herbal Tea,Mint,Sales,20120401, 17.0
Central,Herbal Tea,Mint,Sales,20120501, 10.0
Central,Herbal Tea,Mint,Sales,20120601, 14.0
Central,Herbal Tea,Mint,Sales,20120701, 12.0
Central,Herbal Tea,Mint,Sales,20120801, 78.0
Central,Herbal Tea,Mint,Sales,20120901, 67.0
Central,Herbal Tea,Mint,Sales,20121001, 52.0
Central,Herbal Tea,Mint,Sales,20121101, 30.0
Central,Herbal Tea,Mint,Sales,20121201, 75.0
Central,Tea,Darjeeling,Plan,20120101, 18.0
Central,Tea,Darjeeling,Plan,20120201, 38.0
Central,Tea,Darjeeling,Plan,20120301, 73.0
Central,Tea,Darjeeling,Plan,20120401, 17.0
Central,Tea,Darjeeling,Plan,20120501, 10.0
Central,Tea,Darjeeling,Plan,20120601, 14.0
Central,Tea,Darjeeling,Plan,20120701, 12.0
Central,Tea,Darjeeling,Plan,20120801, 78.0
Central,Tea,Darjeeling,Plan,20120901, 67.0
Central,Tea,Darjeeling,Plan,20121001, 52.0
Central,Tea,Darjeeling,Plan,20121101, 30.0
Central,Tea,Darjeeling,Plan,20121201, 75.0
Central,Tea,Darjeeling,Sales,20120101, 18.0
Central,Tea,Darjeeling,Sales,20120201, 38.0
